Formato,Nome Formato,Programas que usam formato,Autor
png,Portable Network Graphics,Microsoft Windows Photos Microsoft Paint Adobe Photoshop CC,PNG Development Group (donated to W3C)
psd,Adobe Photoshop Document,Adobe Illustrator CS6 Adobe InDesign CS6 Adobe Photoshop GIMP,Adobe Systems
pspimage,PaintShop Pro Image,"ACD Systems Canvas (Windows) Corel Painter (Windows & Mac) Corel PaintShop Pro (Windows) Corel VideoStudio Pro (Windows) CorelDRAW Graphics Suite (Windows) XnViewMP (Windows, Mac & Linux)",Corel
raf,Fuji RAW Image File,"ACD Systems ACDSee (Windows) ACD Systems Canvas (Windows) Adobe DNG Converter (Windows & Mac) Adobe Photoshop (Windows, Mac, iOS & Android) Adobe Lightroom (Windows & Mac) Apple Photos (Mac) Corel PaintShop Pro (Windows) FastStone Image Viewer (Windows) Fuji Hyper-Utility Software (Windows & Mac) Google Picasa (Windows & Mac) Helicon Filter (Windows) MacPhun ColorStrokes (Mac) MAGIX Xara Xtreme (Windows)",Fuji
raw,Raw Image Data File,"ACD Systems ACDSee Photo Studio (Windows) ACD Systems Canvas (Windows) Adobe Photoshop (Windows & Mac) Adobe Photoshop Elements (Windows & Mac) Apple Previews (Mac) Corel PaintShop Pro (Windows) digiKam (Linux) GIMP (Windows, Mac & Linux) File Viewer Plus (Windows) MacPhun ColorStrokes (Mac) Microsoft Photos (Windows) RawTherapee (Windows & Linux) UFRaw (Linux) WidsMob PhotoVault (Mac)",
rwl,Leica RAW Image,"ACD Systems ACDSee (Windows) Adobe Photoshop (Windows, Mac, iOS & Android) Adobe Lightroom (Windows & Mac) CyberLink PhotoDirector (Windows) MacPhun ColorStrokes (Mac) Microsoft Windows Photos (Windows) Phase One Capture One (Windows & Mac)",Leica
sfw,Seattle FilmWorks image,SFW2JPG XnViewMP SFW PhotoWorks American Greetings SFW & PWP File Converter,Seattle Filmworks
sr2,Sony RAW Image File Format,"Adobe DNG Converter (Windows & Mac) Corel AfterShot (Windows, Mac & Linux) CyberLink PhotoDirector (Windows & Mac) EZ Freeware Free Opener (Windows) File Viewer for Android (Android) File Viewer Plus (Windows) MacPhun ColorStrokes (Mac) Microsoft Windows Live Photo Gallery (Windows) Microsoft Windows Photos (Windows) XnViewMP (Windows, Mac & Linux)",Sony
tga,Truevision Targa Graphic File,Adobe Photoshop Corel Paint Shop Pro GIMP Painter,Truevision
thm,Video Thumbnail File,Adobe Photoshop CC (Windows) Microsoft Windows Photo Viewer (Windows) Sony Picture Motion Browser (Windows) Microsoft Paint (Windows) Canon ZoomBrowser EX (Windows) Apple Preview (Mac) Adobe Photoshop CC (Mac) ACDSee Photo Manager 2009,Open Office
tif,Tagged Image File Format,Microsoft Windows Photos Microsoft Windows Photo Viewer Corel PaintShop Pro X6 Adobe Photoshop CC Roxio Creator NXT Pro 2,"Aldus, now Adobe Systems"
tiff,Tagged Image File Format,Microsoft Windows Photos (Windows) Microsoft Windows Photo Viewer (Windows) Apple Preview (Mac) CorelDRAW Graphics Suite (Windows) Adobe Photoshop (Windows & Mac) Adobe Photoshop Elements (Windows & Mac) Adobe Illustrator (Windows & Mac) ACD Systems ACDSee (Windows) MacPhun ColorStrokes (Mac) Nuance PaperPort (Windows) Nuance OmniPage Ultimate (Windows) Roxio Toast (Mac) Other image viewers,"Aldus, Adobe Systems"
wbmp,Wireless Bitmap Image File,"ACD Systems ACDSee (Windows) ACD Systems Canvas (Windows) Adobe Photoshop (Windows & Mac) Adobe Photoshop Elements (Windows & MAc) Corel PaintShop (Windows) File Viewer (Android) Inkscape (Windows, Mac & Linux)",
webp,Google Web Picture files,Adobe Photoshop Google Chrome Picasa,Google
xcf,eXperimental Computing Facility,GNU Image Manipulation Program (GIMP) CorelDRAW Graphics Suite X7 CinePaint Seashore KolourPint,GIMP
yuv,YUV Encoded Image File,"Datahammer 7yuv YUV Viewer (Windows) Elecard YUV Viewer (Windows) ImageMagick (Windows) XnViewMP (Windows, Mac & Linux)",n/A
act,Adobe Color Table File,Adobe Illustrator CC 2015 Adobe Photoshop CC 2015,Adobe Systems
api,Adobe Photoshop Inks File,Adobe Photoshop (Windows & Mac),Adobe Systems
asw,ACDSee Slideshow Wizard File,ACD Systems ACDSee Photo Studio (Windows),ACD Systems
cdt,CorelDRAW Image Template,"ACD Systems Canvas (Windows) CorelDRAW Graphics Suite (Windows) Corel Presentations (Windows) Inkscape (Windows, Mac & Linux) sK1 (Linux) UniConvertor (Linux)",Corel
cfg,Configuration File,Apple TextEdit (Mac) MacroMates TextMate (Mac) MacVim (Mac) Microsoft Notepad (Windows) Microsoft WordPad (Windows) Notepad2 (Windows) Other Text Editors,
dun,Dial Up Network File,Microsoft Dial-Up Networking (Windows),Microsoft
fm3,Lotus 1-2-3 Spreadsheet Format File,IBM Collaboration Solutions (Windows) Microsoft Excel (Windows),IBM
gid,Windows Help Global Index File,Microsoft Windows Help,Microsoft
ht,HyperTerminal Session File,Hilgraeve HyperTerminal (Windows),Hilgraeve
icm,Image Color Matching Profile,Adobe Photoshop (Windows & Mac) Apple ColorSync Utility (Mac) Cerious ThumbsPlus (Windows) CorelDRAW Graphics Suite (Windows) Microsoft Color Control Panel (Windows) Microsoft RAW Image Thumbnailer (Windows),
inf,Setup Information File,Microsoft Windows Microsoft Notepad MacroMates TextMate,Microsoft
ini,Windows Initialization File,Microsoft Windows Microsoft Notepad Microsoft WordPad,
mind,MindMeister Map File,MeisterLabs MindMeister (Web),MeisterLabs
pkg,Mac OS X Installer Package,Apple Installer CharlesSoft Pacifist,Apple
prf,Outlook Profile File,Microsoft Outlook (Windows & Mac),Microsoft
rdf,Resource Description Framework File,"Altova XMLSpy (Windows) Liquid Technologies Liquid XML Studio (Windows) Mozilla Firefox (Windows, Mac & Linux) Mozilla SeaMonkey (Windows, Mac & Linux) SyncRO Soft oXygen XML Editor (Windows, Mac & Linux)",
tscproj,TechSmith Camtasia Project File,TechSmith Camtasia (Windows & Mac),TechSmith
csv,Comma Separated Values File,Microsoft Excel Microsoft Works Corel Quattro Pro Apache OpenOffice LibreOffice Microsoft Notepad Libre Office MobiSystems OfficeSuite Pro 7,Microsoft
numbers,Numbers Spreadsheet File,"Apple Numbers (Mac, Web & iOS)",Apple
ods,OpenDocument Spreadsheet,Microsoft Office 2007 Microsoft Office 2010 OpenOffice Calc,Sun Microsystems
wk3,Lotus 3 Worksheet,IBM Collaboration Solutions Microsoft Excel (older than 2007),IBM
wks,Lotus 1-2-3 Spreadsheet,"Apache OpenOffice (Windows, Mac & Linux) Corel Quattro (Windows) Gnumeric (Windows & Linux) IBM Collaboration Solutions (Windows) Microsoft Excel (Windows & Mac) Planamesa NeoOffice (Mac)",IBM
xlr,Microsoft Works spreadsheet or chart,Microsoft Excel 2016 Microsoft Works,Microsoft
xls,Microsoft Excel Spreadsheet,Microsoft Excel Microsoft Excel Viewer OpenOffice,Microsoft
xlsb,Excel Binary Spreadsheet,Apache OpenOffice Microsoft Excel Microsoft Works,Microsoft
xlsm,Excel Open XML Macro-Enabled Spreadsheet,Corel Quattro Pro X7 Microsoft Excel 2016 MobiSystems OfficeSuite Pro,Microsoft
xlsx,Microsoft Excel Open XML Spreadsheet,Microsoft Excel 2007 Open Office Oxygen Office Progessional (Linux),Microsoft
ani,Windows Animated Cursor,ACD Systems ACDSee 18 Aha-Soft ArtCursor Axialis Cursor Workshop G.D.G AniTuner IcoFX Inkscape RealWorld Cursor Editor,Microsoft
bashrc,Bash Non-Interactive Login Shell File,Apple Terminal (Mac) GNU Bash (Mac & Linux) MacroMates TextMate (Mac),The GNU Project
bash_history,Bash History File,Apple Terminal (Mac) GNU Bash (Mac & Linux),The GNU Project
bash_profile,Bash Interactive Login Shell File,Apple Terminal (Mac) GNU Bash (Mac & Linux) MacroMates TextMate (Mac),The GNU Project
bin,Generic Binary File,AVG CDRWin Linux,"Windows, Macintosh"
bud,Binary Printer Description File,Microsoft Windows,Microsoft
cab,Windows Cabinet File,7-Zip (Windows & Mac) cabectract (Linux) Corel WinZip (Windows) Incredible Bee Archiver (Mac) IZArc (Windows) Microsoft System Configuration Utility (Windows) Microsoft Windows Installer (Windows) Smith Micro StuffIt Deluxe (Windows & Mac) The Unarchiver (Mac) WinInizio ZipGenius (Windows) WinRAR (Windows),Microsoft
cat,Windows Catalog File,Microsoft Windows,Microsoft
cpl,Windows Control Panel Item,Microsoft Windows,Microsoft
cur,Windows Cursor,"ACD Systems SCDSee 18 (Windows) Axialis CursorWorkshop (Windows) Corel PaintShop Pro X8 (Windows) Greenfish Icon Editor Pro (Windows) Inkscape (Windows, Mac, Linux) Microsoft Windows Snap Converter (Mac)",
dat,Data File,Notepad Outlook Microsoft Word PDF Reader,Microsoft
deskthemepack,Windows 8 Desktop Theme Pack File,Microsoft Windows Personalization Control Panel,Microsoft
dev,Windows Device Driver File,Microsoft Windows (Windows) Parallels Desktop (Mac),
dit,Active Directory Information Tree File,Microsoft Active Directory (Windows),Microsoft
dll,Dynamic Link Library,DLL-Files Fixer Microsoft Windows Microsoft Visual Studio 2013 Microsoft Visual FoxPro Resource Hacker,Microsoft
dmp,Windows Memory Dump,Microsoft Dumpflop utility Microsoft Visual Studio 2013 Windows Debug Tools Windows Kernel Debug,Microsoft
drv,Device Driver,Microsoft Windows,
dvd,DOS Device Driver,Microsoft MS-DOS,
ebd,Windows EBD System File,Windows Operating System,Microsoft
ffl,Find Fast Document List,Microsoft Office (Windows) Microsoft Outlook (Windows),Microsoft
ffo,Find Fast Document Properties Cache,Microsoft Office (Windows) Microsoft Outlook (Windows),Microsoft
fota,Firmware Over-the-Air File,Android Operating System,Google
hdmp,Windows Heap Dump File,Microsoft Visual Studio (Windows),Microsoft
hiv,Windows Registry Hive File,Microsoft Reg (Windows),Microsoft
hlp,Windows Help File,Adobe RoboHelp (Windows & Mac) Help Explorer Viewer (Windows & Linux) Microsoft Windows Help Viewer (Windows) Microsoft Help Workshop (Windows) YpgSoft Windows HLP To RTF (Windows),Microsoft
htt,Hypertext Template File,Windows OS,Microsoft
icl,Windows Icon Library File,ACD Systems Canvas (Windows) Aha-Soft IconUtils (Windows) Axialis IconWorkshop (Windows) Impact Microangelo Toolset (Windows) Microsoft Windows (Windows),Microsoft
icns,Mac OS X Icon Resource File,"Adobe Photoshop with IconBuilder for Mac Plugin (Mac) Apple Preview (Mac) Axialis IconWorkshop (Windows) Folder Icon X (Mac) Icon Machine (Mac) Iconographer (Mac) Inkscape (Windows, Mac & Linux) Snap Converter (Mac) XnViewMP (Windows, Mac & Linux)",Apple
iconpackage,IconPackage Theme File,Stardock IconPackager (Windows),Stardock
ion,File Description File,4DOS (Windows) Microsoft Notepad (Windows) XnView (Windows) Any other text editor,
iptheme,IconPackage Raw Theme File,Stardock IconPackage (Windows),Stardock
lnk,Windows File Shortcut,Microsoft Windows Flint Link Info,Microsoft Corporation
mdmp,Windows Minidump File,Microsoft Windows SDK (Windows) Microsot Visual Studio (Windows) Microsoft WinDdg (Windows),Microsoft
mlc,Microsoft Language Interface Pack,Windows Operating System,Microsoft
nb0,Device Boot Loader Image,Microsoft Windows CE Device Emulator (Windows) Software Update Tool LR (Windows),
nfo,System Information File,DIZzy GetDiz Microsoft Notepad Microsoft System Information NFOPad,Microsoft
nt,Windows NT Startup File,Microsoft Windows,Microsoft
pck,System Center Configuration Manager,Microsoft System Center Configuration Manager (Windows),Microsoft
pnf,Precompiled INF File,Various applications (Windows),
pol,Windows Policy File,Microsoft Group Policy Object Editor (Windows) Registry.Pol Viewer Utility (Windows),Microsoft
prop,Android Build Properties File,ES File Explorer File Manager JRummy Apps Build Prop Editor JRummy Apps Root Browser Speed Software Root Explorer,Android
qvm,Q Virtual Machine,Q (Mac),Q
reg,Registry Data File,Microsoft Registry Editor (Windows),Microsoft
sdt,Siemens Desktop Theme File,7-Zip (Windows) Corel WinZip (Windows),Siemens
sys,Windows System File,Microsoft Windows Parallels Desktop for Mac,Microsoft
ai,Adobe Illustrator File,Adobe Illustrator Corel Paint Shop Pro Adobe Reader Adobe Photoshop,Adobe
cdr,CorelDRAW Image File,Corel PaintShop Photo Pro Corel WordPerfect Office Adobe Illustrator Adobe Reader,Corel Corporation
cvs,Canvas 3 Drawing File,ACD Systems Canvas (Windows),ACD Systems
emf,Microsoft Enhanced Metafile (32-bit),Microsoft Publisher Microsoft Word QuarkXPress,Microsoft
emz,Windows Compressed Enhanced Metafile,"Microsoft Office 2013 (Windows) Microsoft Visio 2013 (Windows) Logipole Konvertor (Windows) XniViewMP (Windows, Linux, Mac OS)",Microsoft
eps,Adobe Encapsulated PostScript File,Adobe Acrobat Adobe Illustrator Adobe InDesign Adobe Photoshop (later versions) Ghostscript GIMP (requires Ghostscript) OpenOffice,Adobe Systems
gvdesign,Gravit Designer File,"Gravit Designer (Windows, Mac, Linux & Web) Gravit Kles (Web)",Gravit
mix,Microsoft Image Extension,Microsoft Digital Image Pro Microsoft PhotoDraw Picture It!,Microsoft
odg,OpenDocument Graphic File,Libre Office OpenOffice Draw,Sun Microsystems
pd,FlexiSIGN 5 Plotter Document,SAi FlexiSIGN,SA International
svg,Scalable Vector Graphics File,Adobe Photoshop Apple Preview Corel Paint Shop Pro Corel SVG Viewer,World Wide Web Consortium
svgz,Compressed Scalable Vector Graphics File,"Adobe Illustrator (Windows & Mac) Adobe SVG Viewer (Windows, Mac & Linux) Autodesk Tinkercad (Windows & Web) Corel PaintShop Pro (Windows) Inkscape (Windows, Mac & Linux) Serif DrawPlus (Windows)",Adobe Systems
vsd,Microsoft Visio Drawing File,Microsoft Visio 2013 LibreOffice CorelDRAW Graphics Suite X7,Microsoft
wmf,Windows Metafile,ACD Systems ACDSee 17 ACD Systems Canvas Adobe Illustrator Apple QuickTie Player Corel PaintShop Pro X6 CorelDRAW Graphics Suite X7 Cristallight WMF Converter Pro GIMP IMSI TurboCAD Deluxe Inkscape Newera Graphics Converter Pro MAGIX Xara Photo & Graphic Designer Microsoft Windows Photo Viewer Microsoft Picture It!,Microsoft
wpg,WordPerfect Graphics File,CorelDRaw Graphics Suite X7 Inkscape Corel WordPerfect X7 Lemkesoft GraphicConverter Serif PhotoPlus,Corel
264,Ripped Video Data File,RipBot264 (Windows) Roxio Toast 14 (Mac) StaxRip (Windows),
3g2,3rd Generation Partnership Project Multimedia File,Microsoft Media Player Classic Apple QuickTime Player GOM Player Totem VideoLAN VLC Media Player,3rd Generation Partnership Project 2
3gp,3rd Generation Partnership Project,Adobe Flash Professional Windows Media Player QuickTime Player VLC Media Player Nokia Suite,3rd Generation Partnership Project (3GPP)
3gpp,Third Generation Partnership Project Media File,QuickTime Player VLC Media Player Windows Media Player,3rd Generation Partnership Project (3GPP)
aep,After Effects Project File,Adobe After Effects (Windows & Mac),Adobe Systems
amv,Anime Music Video File,File Viewer Plus (Windows) Callum Hollywood AMV Studio (Windows) AMV Converter mod (Windows) AMV Convert Tool (Windows) AMV Marker (Windows),
arf,WebEx Advanced Recording File,Cisco WebEx Network Recording Player (Windows & Mac),Cisco
asf,Advanced Systems Format File,Real Player VLC Media Player Windows Media Player,Microsoft
avi,Microsoft Audio/Visual Interleaved,Video Lan VLC Player Microsoft Windows Media Player Apple Quick Time Player DIVX Player,Microsoft
bik,Bink Video File,"Microsoft Windows Media Player (Windows) Splayer (Windows) The Bink Video Player (Mac & Linux) The RAD Video Tools (Windows) VideoLAN VLC Media Player (Windows, Mac & Linux)",RAD Game Tools
camproj,Camtasia Studio Project File,TechSmith Camtasia Studio (Windows),TechSmith
camrec,Camtasia Studio Screen Recording,TechSmith Camtasia Studio (Windows),TechSmith
ced,JVC Camera Video Data File,This file is not supposed to be opened and will need to be converted to become useful.,
cmproj,Camtasia Project File,TechSmith Camtasia (Mac),TechSmith
cmrec,Camtasia Screen Recording,TechSmith Camtasia (Mac),TechSmith
cpi,AVCHD Video Clip Information File,"Adobe Premiere Pro CC (Windows, Mac) Roxio Creator NXT Pro 2 (Windows) Roxio Popcorn (Mac) CyberLink Power Director 12 Ultra (Windows) Pinnacle Studio 17.5 (Windows) Corel Videostudio Pro X7 Ultimate (Windows) Sony Vegas Pro 13 (Windows)",Sony and Panasonic
dav,DVR365 Video File,DVR365 Player Software,DVR365
dir,Adobe Director Movie,Adobe Director (Windows & Mac),Adobe Systems
divx,Digital Video Express Encoded Movie Files,Video LAN VLC Media Player DivX 7 Microsoft Windows Media Player CyberLink PowerDVD 14 Roxio Creator NXT Pro 2. Roxio Toast 12 RealNetworks RealPlayer Cloud,DivX Networks Inc.
dvsd,Digital Video File,DVMaster Pro Video Nero MediaHub Nero Vision Express,
esp3,Easy Sketch Pro 3.0 Project File,Easy Sketch Pro (Windows & Mac),
f4v,Flash MP4 Video File,Adobe FlashPlayer 13 Adobe Flash Professional CC VideoLAN VLC Media Player,Adobe Systerm
flv,Animated Flash Video File,FFDShow Microsoft Windows Photo Gallery Viewer VideoLAN VLC Media Player Windows Media Player,Adobe Systems
g64,Genetec Video File,Genetec Security Center (Windows),Genetec
h264,H.264 Encoded Video File,"Microsoft Windows Media Player (Windows) Apple QuickTime Player (Windows, Mac) Roxio Creator NXT Pro 2 (Windows Roxio Toast 12 (Mac) Corel VideoStudio Pro X7 Ultimate (Windows) CyberLink Power DVD 14 (Windows) VideoLAN VLC media player (Windows, Mac, Linux)",
ifo,DVD Info File,WinDVD CyberLink PowerDVD 10 Roxio Creator 2010 Nero ShowTime,
imoviemobile,iOS iMovie Project File,Apple iMovie (Mac & iOS),Apple
m2ts,MPEG-2 Transport Stream,Microsoft Windows Media Player VideoLAN VLC media player Adobe Flash Professional CC Sony Picture Motion Browser,Sony
m4v,iTunes Video File,Apple QuickTime Player Apple iTunes VLC Media Player,Apple
mepx,Movavi Video Editor Project,Movavi Screen Capture Studio (Windows) Movavi Video Editor (Windows) MOVAVI Video Suite (Windows),Movavi
mkv,Matroska Video File,VLC Media Player,Steve Lhomme
mod,Camcorder Recorded Video (Modul) File,Quicktime Player VLC Media Player Windows Media Player,JVC/Panasonic
modd,Sony Video Analysis File,Sony Picture Motion Browser (Windows) Sony PlayMemories Home,Sony
mov,QuickTime Movie,Apple QuickTime Player CyberLink PowerDirector Roxio Easy Media Creator VideoLAN VLC Media Player,Apple
mp4,MPEG-4 Video Stream,Real Media Player WinAmp Windows Media Player iTunes VideoLAN VLC Media Player,Moving Picture Experts Group
mpeg,Motion Picture Experts Group file interchange format,Windows Media Player Windows Movie Maker VLC Video Player Apple iTunes Quicktime Player Adobe Flash Roxio Cyberlink video editing software Xilisoft Video Converter,IOS/IEC
mpg,MPEG Video Stream,Windows Media Player Windows Movie Maker VLC Video Player Apple iTunes Quicktime Player Adobe Flash Roxio Cyberlink video editing software Xilisoft Video Converter,IOS/IEC
mproj,Mine-imator Project File,Mine-imator (Windows),Mine-imator
mswmm,Microsoft Windows Movie Maker Project File,Microsoft Windows Live Movie Maker Microsoft Windows Movie Maker,Microsoft
mts,AVCHD Video File,VideoLAN VLC Media Player Windows Media Player,"Sony, Panasonic"
mxf,Material Exchange Format File,"Adobe Premiere Pro CC (Windows, Mac) Avid Media Composer (Windows, Mac) Sony Vegas Pro 13 (Windows) Grass Valley Edius (Windows) Avid Pro Tools (Windows, Mac) Open Cube XFReader (Windows) OpenCube XFConverter (Windows) AmberFin MXF Desktop (Windows) VideoLAN VLC media player (Windows, Mac, Linux) Apple QuickTime Player (Mac)",SMPTE
nfv,Netflix Video File,Netflix (iOS & Android),Netflix
ogv,Ogg Video File,VLC Miro media Player MPlayer Helix Player,Xiph.org
osp,OpenShot Project File,OpenShot (Linux),Jonathan Thomas
pds,PowerDirector Script File,CyberLink PowerDirector 14 Ultra CyberLink PowerProducer 6,CyberLink
qt,Apple QuickTime Movie,"Apple QuickTime Player (Windows, Mac) Roxio Creator NXT Pro 2 (Windows) Roxio Toast 12 (Mac) CyberLink PowerDVD 14 (Windows) Adobe Flash Professional CC (Windows, Mac) Eltima Elmedia Player (Mac)",Apple
rcproject,iMovie '08 Project File,Apple Final Cut Pro (Mac) Apple iMovie (Mac),Apple
rm,Real Media File,RealNetworks RealPlayer,Real Networks
rmvb,RealMedia Variable Bitrate,RealPlayer VLC Media Player,Real Networks
srt,SubRip Text Subtitle file,MPlayer CyberLink PowerDirector 14 Ultra CyberLink PowerDVD 15 Microsoft Windows Media Player with VobSub plugin VideoLAN VLC media player Media Player Classic Aegisub Jubler olimsoft OPlayer,
swf,Shockwave Flash Movie,Adobe Flash Player Web Browser with flash plugin,FutureWave Software
thp,Wii/Game Cube Video File,File Viewer Plus (Windows) thpplay (Windows),
trec,TechSmith Recording File,TechSmith Camtasia (Windows & Mac),TechSmith
ts,Video Transport Stream File,VideoLAN VLC Media Player Corel VideoStudio Pro X7 Ultimate CyberLink PowerProducer 6 Squared 5 MPEG Streamclip Pinnacle Studio 17.5,MPEG
tvs,TeamViewer Video Session File,"TeamViewer (Windows, Mac, Linux, iOS & Android)",TeamViewer
veg,Vegas Pro Project,Sony Vegas Pro Sony Vegas Movie Studio Sony Foundry,Sony
vep,AVS Video Editor Project File,Online Media Technologies AVS Video Editor,Online Media Technologies
vob,DVD Video Object File,"Video Lan VLC Player Microsoft Windows Media Player BlazeDVD, Corel WinDVD PowerDVD 11",DVD Forum
vpj,VideoPad Video Editor Project File,NCH VideoPad Video Editor,NCH Software
vproj,VSDC Video Editor Project,VSDC Free Video Editor (Windows) VSDC Video Editor (Windows),Flash-Integro LLC
vro,DVD Video Recording File,"Apple QuickTime Player (Windows & Mac) Corel WinDVD Pro (Windows) CyberLink PowerDVD (Windows) DRD Systems VideoReDo (Windows) MplayerX (Mac) Online Media Technologies AVS Video Editor (Windows) Squared 5 MPEG Streamclip (Mac) VideoLAN VLC media player (Windows, Mac & Linux)",
webm,Web Media File,Mozilla Firefox Google Chrome Opera QuickTime YouTube Adobe Flash Skype,"On2, Xiph, and Matroska; later Google"
wlmp,Windows Live Movie Maker Project File,Microsoft Live Movie Maker,Microsoft
wmv,Windows Media Video,MPlayer Microsoft Windows Media Player PowerDVD RealPlayer VideoLAN VLC Media Player,Microsoft
xesc,Expression Encoder Screen Capture File,File Viewer Plus (Windows) Microsoft Expression Encoder (Windows) Microsoft Expression Studio (Windows) VideoLAN VLC media player (Windows),Microsoft
asp,Active Server Page,Adobe Dreamweaver (Windows & Mac) Adobe Fireworks (Windows & Mac) ES-Computing EditPlus (Windows) Microsoft IIS (Windows) Microsoft Visual Studio (Windows) Microsoft Visual Web Developer (Windows) Any Web Browser Any Text Editor,Microsoft
aspx,Active Server Page Extended File,Microsoft Visual Web Developer Microsoft Visual Studio 2013 ES-Computing Edit Plus Any Web browser,Microsoft
cer,Internet Security Certificate,"Adobe Acrobat DC (Windows & Mac) Adobe Reader (Windows, Mac & Linux) Apple Keychain Access (Mac) Apple Safari (Mac) Microsoft Internet Explorer (Windows) Mozilla Firefox (Windows) Other Web Browsers",
cfm,ColdFusion Markup File,"Adobe ColdFusion (Windows, Mac & Linux) Adobe ColdFusion Builder (Windows & Mac) Adobe Dreamweaver (Windows & Mac) New Atlanta BlueDragon (Windows, Mac & Linux) Railo (Windows, Mac & Linux) Any Text Editor Any Web Browser",Adobe Systems
cfml,ColdFusion Markup Language File,"Adobe ColdFusion (Windows, Mac & Linux) Adobe ColdFusion Builder (Windows & Mac) Adobe Dreamweaver CC (Windows & Mac) Railo (Windows, Mac & Linux) View in any web browser",Adobe Systems
csr,Certificate Signing Request File,"Microsoft IIS (Windows) OpenSSL (Windows, Mac & Linux)",
css,Cascading Style Sheets,Mozilla Firefox Internet Explorer Google Chrome Opera,World Wide Web Consortium
do,Java Servlet,Apache Tomcat Any web browser,
htm,Hypertext Markup Language File,"Opera explorer, Internet explorer, Mozilla Firefox, Microsoft Visual Studio, Any text editor, and web browsers.",W3C & WHATWG
html,Hypertext Markup Language with a client-side image map,Internet Explorer Mozilla Firefox Google Chrome Opera Safari Other internet browsers,World Wide Web Consortium & WHATWG
js,JavaScript File,"Adobe Dreamweaver CC (Windows, Mac) Adobe ColdFusion Builder 3 (Windows, Mac) Microsoft Visual Studio 2013 (Windows) Jetbrains IntelliJ IDEA (Windows) Es-Computing EditPlus (Windows) Apple Dashcode (Mac) Bare Bones BBEdit 10 (Mac) MacroMates TextMate (Mac) Other text editors Other web browsers",
json,JavaScript Object Notation File,Microsoft Notepad Microsoft WordPad Notepad ++ Mozilla Firefox,
jsp,Java Server Page,"Adobe Dreamweaver (Windows & Mac Apple Safari (Mac) Eclipse IDE for Java Developers (Windows, Mac & Linux) ES-Computing EditPlus (Windows & Linux) Google Chrome (Windows, Mac & Linux) MacroMates TextMate (Mac) Microsoft Internet Explorer (Windows) Mozilla Firefox (Windows, Mac & Linux) Progress Stylus Studio (Windows) Richardson EditRocket (Windows, Mac & Linux) Other Web Browsers",Oracle
mhtml,MIME HTML File,"Google Chrome (Windows, Mac & Linux) Kingsoft Writer (Windows) Microsoft Internet Explorer (Windows) Microsoft Word (Wondows & Mac) Mozilla Firefox (Windows & Mac) Opera (Windows, Mac, Linux, Android & iOS) Terra Informatics BlockNote.Net (Windows) UCWeb UC Browser (Android, iOS, Windows Phone) WizBrother WizHtmlEditor (Windows)",
nzb,NewzBin Usenet Index File,Asar NZB Drop DJI Interprises NewsBin Pro Ilan Shemes GrabIt KLibido NewsLeecher Newsman Pro NZBGet nzbperl Panic Unison 2 rsbr-Software News File Grabber S&H Computer Systems News Rover TechSono SuperNZB Usenet Explorer,NewzBin.com
php,PHP Source Code File,Adobe Dreamweaver CC 2015 Eclipse PHP Development Tools Zend Studio MPSoftware phpDesigner ES-Computing EditPlus Blumentals WeBuilder Notepad++ WampServer Web browsers,The PHP group
rss,Rich Site Summary,"BottomFeeder (Windows, Mac & Linux) Cynical Peak Cyndicate (Mac) FeedDemon (Windows) Mozilla Firefox (Windows, Mac & Linux) NewsFire (Mac) NewsGator NetNewsWire (Mac) NewzCrawler (Windows) RssReader (Windows) Utsire Shrook ( Mac)",
webarchive,Safari Web Archive,Apple Safari (Windows & Mac) Apple TextEdit (Mac) Cruz (Mac) iCab (Mac),Apple
webloc,Mac OS X Website Location,Apple Safari (Mac) Google Chrome (Mac) Mozilla Firefox (Mac) Mozilla SeaMonkey (Mac) Opera (Mac) Any text editor on a Windows system,Apple
xfdl,Extensible Forms Description Language File,IBM Lotus Forms Viewer (Windows) Microsoft Notepad (Windows) Notepad++ (Windows) Any text editor,UWI
xhtml,Extensible Hypertext Markup Language File,Adobe ColdFusion Builder 3 Adobe Dreamweaver CC 2015 Apple Safari Microsoft Internet Explorer Mozilla Firefox And other web browsers.,
